,dane,2019/Q3,2018,2017
1,Aktywa trwałe,32283,24311,5108
2,Wartości niematerialne i prawne,2573,2090,2298
3,Rzeczowe składniki majątku trwałego,49,87,323
4,Należności długoterminowe,0,0,0
5,Inwestycje długoterminowe,29627,22029,2052
6,Pozostałe aktywa trwałe,34,105,435
7,Aktywa obrotowe,142580,97497,71618
8,Zapasy,24773,16730,16113
9,Należności krótkoterminowe,21679,10154,7139
10,Inwestycje krótkoterminowe,88749,69627,47196
11,Środki pieniężne i inne aktywa pieniężne,88749,69627,47196
12,Pozostałe aktywa obrotowe,7379,986,1170
13,Aktywa trwałe przeznaczone do sprzedaży,0,0,0
14,Aktywa razem,174863,121808,76726
15,Kapitał własny akcjonariuszy jednostki dominującej,117610,97390,64695
16,Kapitał (fundusz) podstawowy,660,660,660
17,Udziały (akcje) własne,0,0,0
18,Kapitał (fundusz) zapasowy,55117,50585,46740
19,Udziały niekontrolujące,20983,16276,5532
20,Zobowiązania długoterminowe,4621,2673,66
21,Z tytułu dostaw i usług,0,0,0
22,Kredyty i pożyczki,0,0,0
23,Z tytułu emisji dłużnych papierów wartościowych,0,0,0
24,Zobowiązania z tytułu leasingu finansowego,0,0,0
25,Inne zobowiązania długoterminowe,4621,2673,66
26,Zobowiązania krótkoterminowe,31649,5469,6433
27,Z tytułu dostaw i usług,203,1328,1097
28,Kredyty i pożyczki,0,311,2301
29,Z tytułu emisji dłużnych papierów wartościowych,0,0,0
30,Zobowiązania z tytułu leasingu finansowego,0,0,0
31,Inne zobowiązania krótkoterminowe,31446,3830,3035
32,Rozliczenia międzyokresowe,0,0,0
33,Pasywa razem,174863,121808,76726
